UNNAMED:_0	MOV_DEVOLUCAO_105	MOV_DECURSO_DE_PRAZO_1051	MOV_DISPONIBILIZACAO_NO_DIARIO_DA_JUSTICA_ELETRONICO_1061	MOV_DESPACHO_11009	MOV_ATO_ORDINATORIO_11383	MOV_RECEBIMENTO_115	MOV_PROTOCOLO_DE_PETICAO_118	MOV_RETIFICACAO_DE_MOVIMENTO_11983	MOV_PAUTA_12103	MOV_INTIMACAO_12263	MOV_REMESSA_123	MOV_DEVOLVIDOS_OS_AUTOS_12315	MOV_RECEBIMENTO_132	MOV_JULGAMENTO_193	MOV_DISTRIBUICAO_26	MOV_DECISAO_3	MOV_REDISTRIBUICAO_36	MOV_ENTREGA_EM_CARGA_VISTA_493	MOV_CONCLUSAO_51	MOV_EXPEDICAO_DE_DOCUMENTO_60	MOV_JUNTADA_67	MOV_TRANSITO_EM_JULGADO_848	MOV_ARQUIVAMENTO_861	MOV_DESARQUIVAMENTO_893	MOV_PUBLICACAO_92	MOV_RECEBIMENTO_977	MOV_REMESSA_982	TEMPO_PROCESSUAL_TOTAL_DIAS	MOVEMENTS_COUNT	TOTAL_MAGISTRATE	TOTAL_OFFICIAL	ASSU_DIREITO_ELEITORAL	ASSU_ADMINISTRACAO_DA_JUSTICA_ELEITORAL	ASSU_ELEICOES	ASSU_PARTIDOS_POLITICOS	ASSU_REQUERIMENTO	CASE:COURT:CODE	PROCESSO_DIGITAL	TOTAL_ASSUNTOS	PENDENTES_CRIMINAL_2015	PENDENTES_CRIMINAL_2016	PENDENTES_CRIMINAL_2017	PENDENTES_CRIMINAL_2018	PENDENTES_CRIMINAL_2019	PENDENTES_NAO_CRIMINAL_2015	PENDENTES_NAO_CRIMINAL_2016	PENDENTES_NAO_CRIMINAL_2017	PENDENTES_NAO_CRIMINAL_2018	PENDENTES_NAO_CRIMINAL_2019	PENDENTES_NAO_CRIMINAL_2020	RECURSOS_INTERNOS_CONHECIMENTO_2018	RECURSOS_INTERNOS_CONHECIMENTO_2019	TIPO	ESTOQUE	TAXA_DE_CONGESTIONAMENTO_LIQUIDA	TAXA_DE_CONGESTIONAMENTO_TOTAL	CLASSE_PROCESSUAL	CLASSIFICACAO_DA_UNIDADE	UF	MESORREGIAO
440	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	29	0	29	1	0	0	0	0	74558	4.0	1	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
440	0	0	0	1	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	2296	21	1	20	1	0	0	0	0	74558	4.0	1	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_OUTROS_PROCEDIMENTOS_214	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
440	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	389	7	1	7	0	1	2	0	0	80138	4.0	3	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_ACAO_PENAL_ELEITORAL_11528	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
440	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	31	0	31	1	0	0	0	0	74558	4.0	1	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
440	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	84	10	0	10	0	0	2	1	0	16211	4.0	3	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
440	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	26	0	26	1	0	0	0	0	74558	4.0	1	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
440	0	0	0	1	4	0	0	0	0	0	5	0	3	0	1	0	0	2	2	1	5	0	2	0	0	1	0	1892	28	1	27	0	0	2	2	0	16221	4.0	3	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
440	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	30	0	30	1	0	0	0	0	74558	4.0	1	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
440	0	0	0	0	3	0	0	0	0	0	5	0	3	0	1	0	0	0	2	1	3	0	1	0	2	0	0	177	21	0	21	0	0	2	1	0	16206	4.0	3	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
440	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	31	0	31	1	0	0	0	0	74558	4.0	1	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
440	0	0	0	3	6	0	0	0	0	0	5	0	0	0	0	0	0	1	6	3	6	0	0	0	0	1	0	2176	31	3	28	1	0	0	0	0	16231	4.0	1	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_2
440	0	1	0	0	1	0	0	0	0	0	3	0	5	0	1	0	0	1	2	0	16	0	1	0	0	0	0	578	31	0	31	0	0	2	1	0	16193	4.0	3	0.0	1.0	1.0	2.0	1.0	0.0	34.0	42.0	21.0	11.0	4.0	0.0	0.0	TIPO_DESCONHECIDO	9.0	0.2687	0.2879	CLA_PROCEDIMENTOS_RELATIVOS_A_REALIZACAO_DE_ELEICAO_11529	CLAS_DESCONHECIDO	UF_ALAGOAS	MESO_ALAGOAS_3
