EVENT_LOG,DISCOVERY_ALG,ALIGNMENTS_MARKOV,ABS_EDGES_ONLY_IN_LOG,ABS_EDGES_ONLY_IN_LOG_W,ABS_EDGES_ONLY_IN_LOG_BTW,ABS_EDGES_ONLY_IN_LOG_BTW_NORM,ABS_EDGES_ONLY_IN_LOG_CC,ABS_EDGES_ONLY_IN_MODEL,ABS_EDGES_ONLY_IN_MODEL_W,ABS_MAX_DEGREE,ABS_MAX_DEGREE_DIV,ABS_MAX_CLUSTER,ABS_MAX_CLUSTER_DIV,ABS_DEGREE_ENTROPY,ABS_DEGREE_ENTROPY_DIV,ABS_LINK_DENSITY_DIV,ABS_LOG_MAX_DEGREE,ABS_LOG_DEGREE_ENTROPY,ABS_LOG_LINK_DENSITY,ABS_MODEL_MAX_DEGREE,ABS_MODEL_DEGREE_ENTROPY,ABS_MODEL_LINK_DENSITY
Production_Data.xes.gz,IMf,0.8004,0.9708,0.7633,34.8022,0.0113,0.0031,0.3588,-1.9355,0,1,-0.1364,0.8636,18.1577,18.1577,2.6392,34,-83.6675,0.1555,34,-65.5098,0.4104
Production_Data.xes.gz,IMd,0.9231,0.9887,0.9031,0,0,0.0037,0.3061,-12.624,3,1.0882,0,1,-79.049,-79.049,5.3029,34,-83.6675,0.1555,37,-162.7165,0.8246
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,IMf,0.8834,0.9723,0.8765,53,0.1147,0.0089,0.7619,-0.3808,-4,0.6923,-0.2581,0.7419,18.2647,18.2647,2.1685,13,-22.2647,0.2641,9,-4,0.5727
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,IMd,0.9795,0.9936,0.9753,24.7833,0.0536,0.0016,0.3431,-6.9731,4,1.3077,0,1,-41.7353,-41.7353,3.7864,13,-22.2647,0.2641,17,-64,1
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,ETM,0.8492,0.9712,0.878,25,0.0541,0.0084,0.9783,0.9877,-7,0.4615,-0.4167,0.5833,5.5098,5.5098,0.8292,13,-22.2647,0.2641,6,-16.7549,0.219
edited_hh104_labour.xes.gz,IMf,0.6177,0.9755,0.7813,0,0,0.0091,0.7278,0.1185,-2,0.8824,-0.2948,0.6904,0,0,0.8017,17,-12.7549,0.5763,15,-12.7549,0.462
edited_hh104_labour.xes.gz,IMd,0.998,0.9988,0.9981,3.1,0.0082,0.016,0.6239,-2.5506,1,1.0588,0.0479,1.0503,-53.2451,-53.2451,1.5662,17,-12.7549,0.5763,18,-66,0.9026
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes,IMf,0.496,0.8583,0.4252,4.3206,0.0057,0.035,0.8462,0.5906,-11,0.3889,0,1,22.3645,22.3645,2.0994,18,-30.3645,0.172,7,-8,0.3611
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes,IMd,0.4385,0.8648,0.3963,4.3206,0.0057,0.035,0.4655,0.0958,-11,0.3889,-0.4048,0.5952,18.3645,18.3645,3.0657,18,-30.3645,0.172,7,-12,0.5273
activitylog_uci_detailed_labour.xes.gz,IMf,0.8019,0.9626,0.8116,1,0.0037,0.0234,0.8429,0.1221,-5,0.5833,0.0731,1.0884,-0.4902,-0.4902,0.9339,12,-13.5098,0.4118,7,-14,0.3846
activitylog_uci_detailed_labour.xes.gz,IMd,1,1,1,0,0,0,0.4118,-6.3444,4,1.3333,0.1731,1.2093,-45.0936,-45.0936,2.4284,12,-13.5098,0.4118,16,-58.6034,1
activitylog_uci_detailed_labour.xes.gz,ETM,0.8518,0.9548,0.8582,1,0.0037,0.0234,1,1,-5,0.5833,0.1731,1.2093,-12.8966,-12.8966,0.4286,12,-13.5098,0.4118,7,-26.4064,0.1765
activitylog_uci_detailed_weekends.xes.gz,IMf,0.7555,0.9237,0.759,0,0,0.0516,0.8235,0.4378,-5,0.5455,-0.14,0.86,4.7549,4.7549,1.1593,11,-13.5098,0.3333,6,-8.7549,0.3864
activitylog_uci_detailed_weekends.xes.gz,IMd,1,1,1,0,0,0,0.3556,-6.5341,4,1.3636,0,1,-36.5959,-36.5959,2.8128,11,-13.5098,0.3333,15,-50.1057,0.9375
activitylog_uci_detailed_weekends.xes.gz,ETM,0.7732,0.9177,0.7711,0,0,0.0374,0.9286,0.6908,-4,0.6364,0,1,-4.8547,-4.8547,0.6925,11,-13.5098,0.3333,7,-18.3645,0.2308
edited_hh102_labour.xes.gz,IMf,0.7912,0.9479,0.8068,1,0.0029,0.0296,0.6739,-1.0205,-4,0.7143,-0.1352,0.8343,-0.8547,-0.8547,1.0659,14,-16.7549,0.3596,10,-17.6096,0.3833
edited_hh102_labour.xes.gz,IMd,0.9951,0.9957,0.9923,17.1667,0.0502,0.03,0.4083,-6.5556,3,1.2143,0.1842,1.2258,-43.8485,-43.8485,2.6263,14,-16.7549,0.3596,17,-60.6034,0.9444
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,IMf,0.8189,0.9819,0.8181,9.15,0.0051,0.0098,0.8315,0.5164,-27,0.2895,0,1,41.7744,41.7744,2.3702,38,-53.7744,0.1788,11,-12,0.4238
