EVENT_LOG	DISCOVERY_ALG	TIME_ALIGN	ALIGNMENTS_MARKOV_4_K1
activitylog_uci_detailed_weekends	IMf	0.13	0.7513
activitylog_uci_detailed_weekends	IMd	0.66	1.0
activitylog_uci_detailed_weekends	ETM	0.82	0.6123
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	0.28	0.8834
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	2.7	0.9785
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	12.7	0.4405
edited_hh104_labour	IMf	16.21	0.4603
edited_hh104_labour	IMd	2.17	0.996
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMf	9.44	0.7888
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMd	7.77	0.9965
VITORIA_-_5a_VARA_CIVEL_-_TJES	ETM	19.11	0.5172
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project	IMd	1.18	0.9434
edited_hh102_labour	IMf	0.74	0.7831
edited_hh102_labour	IMd	0.26	0.9951
activitylog_uci_detailed_labour	IMf	0.99	0.7842
activitylog_uci_detailed_labour	IMd	2.12	1.0
activitylog_uci_detailed_labour	ETM	3.89	0.5449
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.1	0.6655
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.07	0.9988
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.06	0.9615
Production_Data	IMf	73.56	0.6401
Production_Data	IMd	7.62	0.923
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.07	0.4891
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.09	0.4088
