event_log	algorithm	tran_sys_time	dfa_time	reduc_time	markov_time	total_time
activitylog_uci_detailed_weekends.xes.gz	IMf	0.0041	0.0168	0.0012	11.4776	11.4997
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMf	0.0043	0.0082	0.0013	2.7542	2.768
activitylog_uci_detailed_labour.xes.gz	IMf	0.0423	7.595	0.004	2442.4916	2450.1329
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMf	0.0032	0.0107	0.0008	0.0728	0.0875
BPI_Challenge_2014_Department control parcels.xes.gz	IMf	0.0013	0.0008	0.0005	0.0007	0.0033
BPI_Challenge_2014_Control summary.xes.gz	IMf	0.0018	0.0016	0.0009	0.001	0.0053
4a_VARA_CIVEL_-_TJGO.xes	IMf	0.0118	0.3962	0.0012	6.1754	6.5846
BPI_Challenge_2014_Geo parcel document.xes.gz	IMf	0.0136	4.9443	0.0052	876.4431	881.4062
ElectronicInvoicingENG.xes.gz	IMf	0.0022	0.0029	0.0013	0.2029	0.2093
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.0076	0.1285	0.002	267.5386	267.6767
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	IMf	0.0034	0.0144	0.0011	25.1557	25.1746
DocumentProcessingENG.xes.gz	IMf	0.0024	0.003	0.0012	0.2079	0.2145
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	IMf	0.0794	9.4867	0.004	0.0263	9.5964
edited_hh110_labour.xes.gz	IMf	0.0378	3.5046	0.0026	18.3293	21.8743
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.0041	0.0136	0.0015	27.4915	27.5107
BPI_Challenge_2014_Reference alignment.xes.gz	IMf	0.0017	0.0028	0.0007	0.0026	0.0078
Hospital Billing - Event Log.xes.gz	IMf	0.0041	0.0204	0.0014	3697.2937	3697.3196
Road_Traffic_Fine_Management_Process.xes.gz	IMf	0.0434	0.8601	0.0281	1.6291	2.5607
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMf	0.0021	0.0088	0.0013	0.0191	0.0313
Sepsis Cases - Event Log.xes.gz	IMf	0.0049	0.0371	0.0019	523.5227	523.5666
BPI_Challenge_2013_incidents.xes.gz	IMf	0.0017	0.0015	0.0007	0.0045	0.0084
BPI_Challenge_2013_open_problems.xes.gz	IMf	0.0014	0.001	0.0004	0.0034	0.0062
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	IMf	0.0039	0.0137	0.0011	0.6405	0.6592
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMd	0.0012	0.0024	0.0003	1.8263	1.8302
edited_hh104_labour.xes.gz	IMd	0.0073	148.2394	0.005	1699.7996	1848.0513
edited_hh102_labour.xes.gz	IMd	0.0019	0.0065	0.0005	230.1455	230.1544
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMd	0.0023	0.0343	0.0021	554.1125	554.1512
BPI_Challenge_2014_Department control parcels.xes.gz	IMd	0.0016	0.0058	0.0005	0.0027	0.0106
BPI_Challenge_2014_Control summary.xes.gz	IMd	0.0014	0.0013	0.0006	0.0044	0.0077
4a_VARA_CIVEL_-_TJGO.xes	IMd	0.0029	0.1673	0.0021	2.425	2.5973
BPI_Challenge_2014_Inspection.xes.gz	IMd	0.0025	0.0467	0.0007	136.0933	136.1432
ElectronicInvoicingENG.xes.gz	IMd	0.0022	0.0138	0.0012	0.1866	0.2038
DocumentProcessingENG.xes.gz	IMd	0.0022	0.013	0.0012	0.1003	0.1167
edited_hh104_weekends.xes.gz	IMd	0.0036	2.2732	0.0018	249.3787	251.6573
