EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES
BPI_Challenge_2014_Control summary.xes.gz	1.0	0.9012	0.9	0.9	8857.0	HEU_MINER	0.7272727272727273	0.0736864729028204	0.0	0.2210594187084614	0.6153846153846154	0.7741935483870968	0.2084862612836028	0.21603499999999998	0.21869499999999997	0.221698	-0.1712	0.0	-0.9846	-3	0.2287	0.0379	0.7832	-1.1393	-2.0932	0.0	0.0	0.0	0.0	-0.9669	-1.099	0.4478506386848034	393.0	1.1590909090909092	2	4	6	2.0	3	1.0	0.9938	0.3333	0.1667	1.0	0.0	0.0	-0.0	38138	22235.0	2.0	0.3333	1.0	1.4945	43808	59	7
DocumentProcessingENG.xes.gz	0.5438	0.8911	0.7	0.7	9384.0	HEU_MINER	0.6190476190476191	0.3263646584544096	0.4999999999999999	0.2972757935450468	0.2	0.5555555555555556	0.1046207962479347	0.110502	0.108153	0.10977100000000001	0.3021	0.5	0.775	0	-0.1214	-0.1053	0.8797	0.1465	-0.9590000000000001	0.8079617179707782	0.391671	0.393152	0.390357	0.2013	-0.4313	-3.2203247760645706	1809.0	3.5526315789473686	13	9	16	2.75	3	0.76	0.9926	0.3333	0.1667	1.0	0.0	0.0	-0.0	9546	7159.5	1.0	0.4167	0.8	1.281	18352	3	10
BPI_Challenge_2012.xes.gz	0.7745	0.7316	0.6	0.6	3588.0	HEU_MINER	1.0656779661016949	0.3065266993822833	0.7927927927927929	0.6681350114416481	0.7301587301587301	0.8430379746835444	0.3659954233409612	0.37165	0.36902199999999996	0.371703	0.0655	-0.0833	0.5187	-7	0.0423	-0.0785	0.1414	0.2268	-2.5061	0.6179176201372998	0.10117999999999999	0.100796	0.100728	-1.8799	-2.134	-0.0388564157668316	110554.5	3.611558651026392	28	16	24	3.7917	8	0.5965	0.9699	0.5882	0.136	3.5249	0.0479	0.0044	3.281	10020	193.5	3.6144	0.1503	0.3913	3.1621	13087	4366	24
BPI_Challenge_2020_InternationalDeclarations.xes.gz	0.9662	0.7693	0.6	0.8	3352.0	HEU_MINER	1.0043103448275863	0.4179465267707925	0.8666666666666666	1.2392205236240676	0.9035532994923858	0.9398797595190379	0.37439536527560396	0.38099	0.375205	0.378626	0.0081	0.0	-0.9541	-18	0.2143	0.0207	0.0077	-1.591	-4.2208	0.0	0.0	0.0	0.0	-3.2483	-3.2898	-0.0632561239055532	245671.4333333333	1.6558803521408565	11	17	19	3.1053	6	0.662	0.9520000000000001	0.7092	0.1078	3.2211	0.1807	0.0419	2.7206	2894	949.0	3.8269	0.0994	0.5588	2.6262	6449	753	34
BPI_Challenge_2019_log_IEEE.xes.gz	0.988	0.7271	0.6	0.6	67455.0	HEU_MINER	1.0	0.3388647718697901	0.7741935483870965	1.0090620344042085	0.966	0.9888809182209468	0.3578790536153739	0.36143200000000003	0.358671	0.36036999999999997	0.0493	-0.5	-3.7525	-39	0.1322	0.2733	-0.1463	-2.467	-6.0805	0.0	0.0	0.0	0.0	-4.9681	-4.8689	-0.2545579449033033	1454804.5792207797	2.823893486655156	4	8	10	2.6	4	0.7333	0.9968	0.125	0.0536	2.4194	0.1858	0.0547	2.281	43722	13131.0	3.1699	0.1806	0.6923	1.9763	251734	11973	42
BPI_Challenge_2014_Reference alignment.xes.gz	1.0	0.9819	0.9	0.9	39085.0	HEU_MINER	0.819672131147541	0.0679818079043307	0.0	0.2039454237129922	0.75	0.8444444444444444	0.084742598441122	0.09396499999999999	0.08807100000000001	0.091284	0.1176	-0.5	-1.0625	-3	0.2137	0.0524	0.2326	-1.9528	-1.875	0.0	0.0	0.0	0.0	-1.124	-1.5862	-0.3106950402611304	621.0	1.5000000000000002	4	3	6	2.3333	3	0.8667	0.9937	0.5	0.0	0.9183	0.0	0.0	-0.0	37577	6843.0	1.585	0.5	1.0	0.9946	43802	515	6
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.9286	0.6606	0.8	0.6	572.0	HEU_MINER	1.0098231827111983	0.4142562632796474	0.8571428571428571	1.0976277872130598	0.8484848484848485	0.884393063583815	0.3716649317920334	0.376303	0.372212	0.37754299999999996	-0.0103	-0.1667	-0.4048	-8	0.1206	0.1136	0.2047	-0.4362	-2.7880000000000003	0.0161069413247137	0.0036950000000000004	0.003668	0.003669	-2.6252	-2.6001	0.0005672892327728	228492.5	4.79335004239613	10	18	19	3.2105	6	0.6267	0.8543	0.3095	0.0429	2.9056	0.1995	0.0259	2.7806	1387	457.5	3.625	0.1167	0.5714	2.7088	2099	202	29
Road_Traffic_Fine_Management_Process.xes.gz	1.0	0.6976	0.8	0.8	66756.0	HEU_MINER	0.9893992932862192	0.5336538531547856	0.5	1.5915275972002059	0.9577464788732394	0.981132075471698	0.6133364204676999	0.640843	0.61687	0.6254310000000001	-0.1162	-0.5	-1.6526	-5	0.2937	0.5745	-0.8249	-2.2941	-4.9553	0.0	0.0	0.0	0.0	-3.6722	-4.0082	0.0229995838599574	29812.16666666667	5.172705314009662	0	3	3	2.0	3	1.0	0.9969	0.2	0.075	1.4591	0.0	0.0	-0.0	102853	56482.0	1.7925	0.1667	1.2	1.5513	150370	231	11
BPI_Challenge_2013_incidents.xes.gz	0.9416	0.9809	0.7	0.8	4613.0	HEU_MINER	0.7368421052631579	0.1014578599496351	0.2	0.2589190343943601	0.5384615384615384	0.6590909090909091	0.0418103579821161	0.043666	0.045574	0.045814	0.1608	0.5	-0.8846	-5	0.0627	0.0129	0.0081	-1.5001	-1.6283	0.0	0.0	0.0	0.0	-0.6692	-0.917	-0.5243040119015213	283.0	1.0833333333333333	7	3	7	2.8571	4	0.7391	0.9882	0.5	0.5	-0.0	0.0524	0.0524	0.9183	14773	3201.0	1.585	1.3333	0.375	0.9695	7554	1511	4
BPI_Challenge_2020_DomesticDeclarations.xes.gz	1.0	0.9162	0.8	0.7	7091.0	HEU_MINER	0.9302325581395348	0.4127495590148718	0.375	1.1587032224991607	0.8292682926829268	0.9090909090909092	0.1857135281327888	0.190687	0.188855	0.198668	-0.129	-0.5	-1.0034	-8	0.3376	-0.1215	-0.3315	-1.6744	-3.5701	0.0	0.0	0.0	0.0	-2.2202	-2.3423	0.0307377789247878	7309.0	1.742948717948718	1	6	7	2.0	3	1.0	0.9881	0.3	0.1	1.4591	0.2147	0.0358	1.4591	7091	7091.0	1.4591	0.2	1.0	1.7284	10500	99	17
BPI_Challenge_2013_open_problems.xes.gz	0.9776	0.9246	0.8	0.7	542.0	HEU_MINER	0.6829268292682927	0.1836835355627898	0.2666666666666666	0.4220183486238533	0.4	0.5161290322580645	0.1184682887913841	0.138568	0.134414	0.13628099999999999	0.0097	-0.3	-0.6	-4	0.0666	-0.1583	0.2693	-0.1948	-0.7019	0.0	0.0	0.0	0.0	-0.5974	-0.5829	-0.1789831345418652	122.0	1.008333333333333	3	3	4	3.0	5	0.7143	0.9570000000000001	0.5	0.0	0.9183	0.0	0.0	-0.0	544	36.0	1.585	0.6667	0.75	0.9908	819	108	3
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.1079	0.9526	0.6	0.7	144.0	IMf	2.2824817518248177	0.8847354526914077	0.947926267281107	0.7374870810571341	0.6775067750677507	0.7963582311408398	0.0967075151336188	0.097683	0.097104	0.097087	0.1348	0.3	8.0528	138	-0.0046	0.3714	0.0105	-1.0703	-3.9421	7.109035877749875	0.309288	0.30740100000000004	0.308427	-0.3464	-0.8622	-0.041809464647841	352435.02229437185	2.439308343732604	57	15	46	3.2609	6	0.6484	0.87	0.4421	0.0065	4.1964	0.0287	0.0065	3.8894	2333	11.0	4.6628	0.1699	0.1509	4.1669	206	206	42
edited_hh102_labour.xes.gz	0.1333	0.7016	0.8	0.7	12.0	IMf	2.5393939393939395	1.2823406339031331	0.9574468085106379	0.8072916666666664	0.6153846153846154	0.8811369509043928	0.3819444444444447	0.390916	0.385329	0.38404699999999997	0.1073	0.5	5.2951	-3	-0.0084	0.0114	0.8213	2.6635	-1.7156	2.888020833333328	0.353483	0.35454600000000003	0.354512	-0.82	-0.7192	-0.7862624928694436	63328.799999999974	3.7597498541451766	42	14	35	3.2	6	0.6842	0.7282	0.2807	0.0429	3.7255	0.0901	0.0294	3.6416	136	29.0	3.9477	0.3399	0.1731	2.8409	18	18	18
activitylog_uci_detailed_weekends.xes.gz	0.2829	0.7764	0.9	0.9	9.0	IMf	2.2227074235807858	1.1329990085541048	0.9469660194174754	0.8196721311475403	0.4711538461538461	0.7835497835497836	0.2459016393442624	0.251924	0.250546	0.247194	0.0863	0.1389	3.2513	1	-0.0055	0.2577	0.47100000000000003	0.4787	-2.2578	2.6885245901639316	0.41726599999999997	0.41671800000000003	0.418005	-0.0334	-0.145	-0.1955701771339547	11979.780158730156	2.0642657038226657	46	14	44	2.9545	4	0.6667	0.6822	0.3095	0.0769	3.4566	0.0828	0.0465	3.6402	80	18.0	3.3736	0.3571	0.2	2.6268	10	10	15
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	0.3667	0.7833	0.6	0.7	38.0	IMf	3.0296495956873315	1.5228590093109635	1.1829895020424903	0.7826704545454556	0.6536585365853659	0.8752475247524752	0.3494318181818184	0.35745	0.35120100000000004	0.352925	0.1043	0.5	3.7187	4	-0.0171	0.2685	-0.0025	1.4901	-0.3598	3.4502840909091033	0.321885	0.320377	0.322278	0.6005	0.5078	0.1881542420354035	30561.654617604625	3.0537825181866607	52	22	45	3.4222	11	0.6296	0.6523	0.4565	0.0569	4.1805	0.0706	0.018000000000000002	3.9582	122	9.0	3.8805	0.1553	0.2477	3.4445	58	53	27
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.7555	0.9840000000000001	0.6	0.6	83.0	IMf	0.9595959595959596	0.3179543328171376	0.6551724137931033	0.6569879984514132	0.6285714285714286	0.6901408450704225	0.0282617111885404	0.029149	0.029461	0.029256	0.2487	0.3	0.4022	-1	0.0775	-0.0292	0.5915	-1.0783	-3.1244	0.4765776229190863	0.14234000000000002	0.142394	0.14069500000000001	-1.0435	-1.2888	-1.8936955132067903	4541.0	1.92156862745098	16	6	16	2.75	3	0.76	0.9361	0.45	0.225	2.585	0.0	0.0	-0.0	141	102.0	2.585	0.4	0.5	1.7747	232	33	12
activitylog_uci_detailed_labour.xes.gz	0.3513	0.7468	0.6	0.7	17.0	IMf	1.7624633431085044	0.7974728815246052	0.9319371727748692	0.8333333333333348	0.5483870967741935	0.774	0.3376436781609194	0.34556	0.341997	0.340521	0.0956	-0.0833	3.3571	1	-0.0005	0.1188	0.5506	0.0877	-2.8331	2.2471264367816084	0.31860700000000003	0.317819	0.31948699999999997	-0.5983	-0.9015	-0.2587166793055774	55140.36666666666	3.309627675768561	35	12	36	2.8889	3	0.664	0.7474	0.3373	0.0821	3.2744	0.0502	0.0346	3.875	170	35.0	3.75	0.4083	0.1633	2.7487	25	25	16
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	0.9717	0.8983	0.8	0.6	944.0	IMf	1.0	0.2926395064862599	0.7222222222222222	0.7833889336247549	0.8529411764705882	0.8971193415637858	0.2194869435177728	0.22408899999999998	0.222208	0.224883	0.0686	-0.1667	-0.047	-7	0.0843	-0.0175	-0.0275	-1.3677	-3.0935	0.1532267341539169	0.02563	0.025755	0.025606	-2.5016	-2.6235	-0.2036584325228951	79184.5	5.6306998556998495	1	6	10	1.8	2	0.8947	0.9727	0.4	0.325	1.9183	0.0	0.0	-0.0	836	836.0	1.7925	0.2333	0.8571	1.5223	1434	116	27
edited_hh104_labour.xes.gz	0.207	0.4377	0.8	0.6	25.0	IMf	1.5530546623794212	0.7309900990099009	0.9325626204238922	0.9752380952380936	0.6313559322033898	0.8151476251604621	0.4028571428571427	0.409149	0.406568	0.406568	0.1228	0.3333	3.0897	-6	0.0098	0.4521	0.7492	2.8327	-2.1683	1.292619047619048	0.24045500000000003	0.24019000000000001	0.240339	-1.069	-1.2221	-0.5153059690530025	209065.746031746	2.277988595668888	67	18	56	3.1429	5	0.6682	0.7984	0.1873	0.0432	4.1427	0.0216	0.0151	4.2479	524	76.0	4.1427	0.5439	0.1022	3.0705	43	43	19
ElectronicInvoicingENG.xes.gz	0.5714	0.6513	0.7	0.6	4230.0	IMf	0.813953488372093	0.661358929553765	0.4999999999999999	1.6090767886612949	0.5789473684210527	0.7333333333333333	0.5816910979516552	0.619821	0.606272	0.617197	0.2094	0.1667	0.4868	-1	-0.0052	-0.1307	0.3697	-0.0136	-1.8662	0.3991910170533604	0.192183	0.195913	0.191025	-0.5261	-0.5872	-1.7146651485431132	1742.0	3.535947712418302	5	5	8	2.5	3	0.8182	0.9937	0.3333	0.25	1.5219	0.0	0.0	-0.0	8460	8460.0	0.971	0.35	0.7143	1.3486	20135	7	9
BPI_Challenge_2014_Inspection.xes.gz	0.4599	0.8478	0.6	0.6	3483.0	IMf	1.4749034749034748	0.5051673403383038	0.8947368421052628	0.4369679896012989	0.6559139784946236	0.8230337078651685	0.2834758771375247	0.295119	0.288401	0.29061	0.0336	-0.7083	1.1912	-4	0.0115	0.2227	-0.0579	-0.03	-1.16	0.4832007364060753	0.089149	0.088558	0.088615	-0.13699999999999998	-0.6920000000000001	0.0028183195814018	15216.0	2.4520966595593463	29	12	31	2.8387	4	0.6923	0.9115	0.5659	0.0604	2.9996	0.0175	0.0042	3.4566	75476	2452.0	3.9069	0.3095	0.2308	2.5715	5485	3190	15
BPI_Challenge_2014_Geo parcel document.xes.gz	0.3282	0.9187	0.7	0.8	12033.0	IMf	1.2044817927170868	0.43007399026266796	0.7970588235294117	0.8426307384458085	0.6814814814814815	0.7489932885906041	0.1260591452348789	0.128364	0.126859	0.128055	0.0886	0.0	1.2189	-5	0.0075	0.2325	-0.1154	-0.9416	-2.9711	1.5012605211793917	0.167176	0.16147899999999998	0.161851	-0.7467	-1.2012	-0.0589970610648233	61165.45	1.2663686103458822	23	11	21	3.3333	6	0.6471	0.8879	0.4545	0.3561	2.5654	0.0598	0.0188	3.3927	53056	6751.0	3.7004	0.3333	0.25	2.5621	29059	9274	16
4a_VARA_CIVEL_-_TJGO.xes	0.9849	0.8469	0.7	0.6	213.0	IMf	1.0	0.3089988425925926	0.671875	0.693359375	0.7164179104477612	0.7860696517412935	0.3388671875	0.34934899999999997	0.34387199999999996	0.356622	0.1474	0.0	0.0966	-24	0.0311	-0.0883	-0.1604	-0.3136	-2.8386	0.220703125	0.049399	0.048759	0.048635000000000005	-1.6006	-1.5437	-0.1279455100099642	10141.770634920633	0.8986355952177764	7	9	10	3.4	6	0.619	0.8691	0.2619	0.0357	1.75	0.0581	0.0152	2.1556	83	13.5	3.0	0.25	0.5714	2.1999	339	98	16
BPI_Challenge_2014_Department control parcels.xes.gz	1.0	0.7713	0.9	0.9	24048.0	IMf	0.9480519480519479	0.2703970285315646	0.0	0.811191085594694	0.9047619047619048	0.9642857142857144	0.3198806510457174	0.355116	0.332795	0.346887	-0.265	-0.5	-1.6667	-4	-0.08199999999999999	-0.3509		-2.7373	-3.6538	0.0	0.0	0.0	0.0	-1.7458	-2.4426	0.0543102008413679	1243.0	3.2710526315789474	0	1	2	1.0	1	1.0	0.9942	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	29297	349	6
BPI_Challenge_2014_Entitlement application.xes.gz	0.9148	0.9118	0.6	0.7	2950.0	IMf	0.9906166219839142	0.3303973215681008	0.5714285714285714	1.0018278231512905	0.9411764705882352	0.9798319327731092	0.1527494074920284	0.156504	0.153705	0.154651	0.1516	0.0	-2.3202	-13	0.2927	0.4056	-0.1279	-2.3407	-5.2622	0.1040733857354771	0.043789999999999996	0.043835	0.043615	-3.6631	-4.0027	-1.0011265248579921	125174.0166666666	1.9088290884496009	4	6	8	2.5	3	0.8182	0.9939	0.4333	0.1667	2.1281	0.1521	0.0	1.3788	17607	7578.0	2.5216	0.2381	0.7	1.7807	15260	2553	20
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	0.3576	0.8176	0.7	0.6	68.0	IMf	1.8790931989924435	0.8211215973457792	0.919921875	0.7747302158273379	0.7243589743589743	0.8635057471264368	0.2927158273381297	0.29902199999999995	0.296401	0.29548	0.0281	-0.2	3.9566	-7	-0.0075	0.09	0.1975	0.3637	-0.5693	2.5998201438848936	0.28744899999999995	0.285817	0.287039	-0.6732	-0.7312	0.3266384734582966	55903.45	2.9314522274389683	46	12	38	3.1579	5	0.6667	0.7804	0.7432	0.0399	3.1525	0.036000000000000004	0.0074	3.3125	697	42.0	4.3737	0.165	0.2525	3.5295	116	112	29
BPI_Challenge_2014_Control summary.xes.gz	1.0	0.9972	0.9	0.9	35659.0	IMf	0.7045454545454546	0.0079563866018582	0.0	0.0238691598055748	0.6153846153846154	0.7419354838709677	0.0112960023807162	0.0122	0.011945	0.012115	0.0454	0.0	-0.7846	-3	0.1787	0.0379	0.2701	-1.1393	-1.4441	0.0	0.0	0.0	0.0	-1.2163	-1.1514	-0.3305251212950427	393.0	1.1590909090909092	5	4	8	2.25	3	0.8947	0.9937	0.3333	0.1667	1.0	0.0	0.0	-0.0	8857	8857.0	1.5	0.3333	1.0	1.281	43808	59	7
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.575	0.7529	0.8	0.8	41.0	IMf	1.046259842519685	0.3961291862869789	0.8139534883720931	1.0293772032902455	0.9201520912547528	0.9345238095238096	0.4932758845802322	0.5006010000000001	0.49607299999999993	0.499167	0.1854	0.3333	0.7301	-7	0.0357	0.2654	-0.0447	0.1177	-3.7383	0.9741480611045824	0.0541	0.053624	0.053673	-2.7576	-3.0542	-0.1115623685357665	294267.3812049062	2.4411619251992818	27	11	25	3.12	4	0.6774	0.8457	0.4408	0.0181	4.0049	0.0223	0.0065	3.6841	2225	10.0	4.7373	0.1226	0.1897	4.4151	52	52	45
