EVENT_LOG,DISCOVERY_ALG,FITNESS_ALIGNMENT,FITNESS_50_FREQ,FITNESS_50_RAND,FITNESS_25_FREQ,FITNESS_25_RAND,PRECISION_ALIGNMENT,PRECISION_50_FREQ,PRECISION_50_RAND,PRECISION_25_FREQ,PRECISION_25_RAND
edited_hh102_labour,IMf,0.7831,0.789850582165759,0.778643403233226,0.801923788037277,0.753626103638565,0.2609,0.222222222222222,0.248175182481752,0.222222222222222,0.222222222222222
BPI_Challenge_2019_log_IEEE,IMf,-1,-1,-1,-1,-1,0.7339,0.601468026025962,0.700301281048545,0.601402814046166,0.718886626909294
BPI_Challenge_2014_Reference alignment,IMf,0.8595,0.879448539276135,0.999176992879391,0.878130887402496,0.99697240394605,0.9231,0.923525282392733,0.872933572043061,0.919715879931427,0.808691308691309
BPI_Challenge_2020_InternationalDeclarations,IMf,0.9272,0.936085670168876,0.943548604980612,0.940057944192524,0.932882334470058,0.2038,0.193357839737365,0.193045171610391,0.190305778132634,0.1814035779822
edited_hh110_labour,IMf,0.7628,0.777961317393052,0.763714655972898,0.77478034813113,0.722942983690945,256,0.285714285714286,0.201863354037267,0.285714285714286,0.285714285714286
VITORIA_-_5a_VARA_CIVEL_-_TJES,IMf,0.7888,0.813614975604114,0.79593894818121,0.845691124669718,0.797979661617321,322,0.289561646452106,0.304044194288097,0.289387380296471,0.296316758747698
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE,IMf,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BPI_Challenge_2014_Control summary,IMf,0.8945,0.903398380244783,0.898311618771271,0.902340357504827,0.999770499111498,0.9391,0.908533440010106,0.939439652622487,0.91680997652963,0.932782032305811
activitylog_uci_detailed_weekends,IMf,0.7513,0.716992490189438,0.752663807793862,0.69136507733878,0.868674284028131,0.2893,0.215189873417722,0.254901960784314,0.173913043478261,0.24
BPI_Challenge_2012,IMf,-1,0.694277395159835,0.6798496339245,0.666373502168836,0.665542472627675,0.3754,0.408744713846414,0.40475040257649,0.413639639158749,0.398556483447764
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO,IMf,0.8523,0.826687246502663,0.877968921767737,0.803805584264737,0.915986698218762,0.0805,0,0.102439024390244,0,0.06291591046582
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE,IMf,0.4891,0.489514605634188,0.61799689640837,0.462647027657094,0.602958778500139,0.3818,0,0.340909090909091,0,0.344827586206897
BPI Challenge 2017,IMf,-1,-1,-1,0.861709042498773,0.831965871445748,0.3765,0.362520326905495,0.3725927510428,0.3618100857235,0.371477145633777
BPI_Challenge_2013_incidents,IMf,0.7246,0.76068639048755,0.762869569886078,0.739040038271037,0.844810190226528,0.9236,0.943702673634122,0.92369657017825,0.874043083496528,0.85812055804159
